VW, ArtistAndTitle, WeeksAndPeak, Rank, Week
VW 13,Stress feat. Noah Veraguth</b><br/>Elle</a>,W 5 | P 9,19,20.11.2011
VW 11,James Morrison</b><br/>I Won't Let You Go</a>,W 11 | P 3,20,20.11.2011
VW 20,Adele</b><br/>Set Fire To The Rain</a>,W 29 | P 4,21,20.11.2011
VW 22,Kelly Clarkson</b><br/>Mr. Know It All</a>,W 3 | P 22,22,20.11.2011
VW 36,Lana Del Rey</b><br/>Video Games</a>,W 4 | P 23,23,20.11.2011
VW 23,Sak Noel</b><br/>Loca People (What The F**k!)</a>,W 16 | P 2,24,20.11.2011
VW 26,Foster The People</b><br/>Pumped Up Kicks</a>,W 20 | P 23,25,20.11.2011
VW 21,DJ Antoine vs. Timati feat. Kalenna</b><br/>Welcome To St. Tropez</a>,W 32 | P 2,26,20.11.2011
VW 28,David Guetta feat. Sia</b><br/>Titanium</a>,W 14 | P 10,27,20.11.2011
VW 25,77 Bombay Street</b><br/>Up In The Sky</a>,W 31 | P 7,28,20.11.2011
VW 29,Sasha Lopez &amp; Broono feat. Andreea D</b><br/>All My People</a>,W 5 | P 25,29,20.11.2011
VW 30,77 Bombay Street</b><br/>I Love Lady Gaga</a>,W 9 | P 19,30,20.11.2011
VW 32,LMFAO feat. Lauren Bennett &amp; GoonRock</b><br/>Party Rock Anthem</a>,W 32 | P 1,31,20.11.2011
VW 27,R.I.O. feat. U-Jean</b><br/>Turn This Club Around</a>,W 8 | P 1,32,20.11.2011
VW 38,Britney Spears</b><br/>Criminal</a>,W 6 | P 33,33,20.11.2011
VW 35,Alexandra Stan</b><br/>Mr. Saxobeat</a>,W 36 | P 1,34,20.11.2011
VW 41,Snow Patrol</b><br/>Called Out In The Dark</a>,W 10 | P 35,35,20.11.2011
VW 37,Mika</b><br/>Elle me dit</a>,W 14 | P 16,36,20.11.2011
VW 34,Example</b><br/>Changed The Way You Kiss Me</a>,W 9 | P 20,37,20.11.2011
neu,Snoop Dogg &amp; Wiz Khalifa feat. Bruno Mars</b><br/>Young| Wild &amp; Free</a>,W 1 | P 38,38,20.11.2011
VW 31,Pitbull feat. Ne-Yo| Afrojack &amp; Nayer</b><br/>Give Me Everything</a>,W 30 | P 2,39,20.11.2011
VW 40,Lady Gaga</b><br/>Yoü And I</a>,W 10 | P 32,40,20.11.2011
VW 39,Jennifer Lopez feat. Pitbull</b><br/>On The Floor</a>,W 37 | P 1,41,20.11.2011
VW 42,Bad Meets Evil feat. Bruno Mars</b><br/>Lighters</a>,W 22 | P 10,42,20.11.2011
VW 33,The Asteroids Galaxy Tour</b><br/>The Golden Age</a>,W 19 | P 7,43,20.11.2011
neu,Culcha Candela</b><br/>Hungry Eyes</a>,W 1 | P 44,44,20.11.2011
VW 46,Rihanna</b><br/>Man Down</a>,W 23 | P 9,45,20.11.2011
VW 44,Bligg</b><br/>Manhattan</a>,W 23 | P 9,46,20.11.2011
re,B.o.B feat. Lil Wayne</b><br/>Strange Clouds</a>,W 2 | P 47,47,20.11.2011
VW 48,Bruno Mars</b><br/>Grenade</a>,W 42 | P 1,48,20.11.2011
VW 45,"DJ Antoine feat. The Beat Shakers</b><br/>""Ma chérie""</a>",W 36 | P 21,49,20.11.2011
VW 43,Kool Savas</b><br/>Aura</a>,W 3 | P 13,50,20.11.2011
VW 74,Lana Del Rey</b><br/>Blue Jeans</a>,W 4 | P 51,51,20.11.2011
VW 49,David Guetta feat. Taio Cruz &amp; Ludacris</b><br/>Little Bad Girl</a>,W 20 | P 7,52,20.11.2011
neu,Udo Lindenberg feat. Clueso</b><br/>Cello (MTV Unplugged)</a>,W 1 | P 53,53,20.11.2011
VW 57,Pegasus</b><br/>Technology</a>,W 9 | P 31,54,20.11.2011
re,Led Zeppelin</b><br/>Stairway To Heaven</a>,W 13 | P 17,55,20.11.2011
VW 50,Coldplay</b><br/>Every Teardrop Is A Waterfall</a>,W 19 | P 6,56,20.11.2011
re,Tim Bendzko</b><br/>Wenn Worte meine Sprache wären</a>,W 4 | P 46,57,20.11.2011
VW 53,DJ Antoine feat. Tom Dice</b><br/>Sunlight</a>,W 24 | P 10,58,20.11.2011
re,Scorpions</b><br/>Wind Of Change</a>,W 52 | P 1,59,20.11.2011
VW 69,Israel IZ Kamakawiwo'ole</b><br/>Over The Rainbow</a>,W 61 | P 3,60,20.11.2011
re,Bruno Mars</b><br/>It Will Rain</a>,W 4 | P 38,61,20.11.2011
VW 58,Selah Sue</b><br/>This World</a>,W 6 | P 42,62,20.11.2011
VW 51,Snoop Dogg vs. David Guetta</b><br/>Sweat</a>,W 35 | P 2,63,20.11.2011
VW 47,Unheilig</b><br/>Geboren um zu leben</a>,W 74 | P 13,64,20.11.2011
VW 60,Shakira feat. Freshlyground</b><br/>Waka Waka (This Time For Africa)</a>,W 78 | P 1,65,20.11.2011
re,Justin Bieber</b><br/>Mistletoe</a>,W 2 | P 49,66,20.11.2011
re,Mike Candys &amp; Jack Holiday</b><br/>Insomnia</a>,W 28 | P 34,67,20.11.2011
VW 66,LMFAO feat. Natalia Kills</b><br/>Champagne Showers</a>,W 11 | P 56,68,20.11.2011
VW 56,Sunrise Avenue</b><br/>Hollywood Hills</a>,W 37 | P 3,69,20.11.2011
VW 61,Lady Gaga</b><br/>The Edge Of Glory</a>,W 23 | P 10,70,20.11.2011
VW 52,Bruno Mars</b><br/>The Lazy Song</a>,W 26 | P 9,71,20.11.2011
VW 67,Michael Andrews feat. Gary Jules</b><br/>Mad World</a>,W 36 | P 23,72,20.11.2011
neu,Mylène Farmer</b><br/>Du temps</a>,W 1 | P 73,73,20.11.2011
VW 71,Red Hot Chili Peppers</b><br/>The Adventures Of Rain Dance Maggie</a>,W 12 | P 26,74,20.11.2011
VW 59,Jennifer Lopez</b><br/>Papi</a>,W 7 | P 37,75,20.11.2011
VW 1,Adele</b><br/>Someone Like You</a>,W 22 | P 1,1,27.11.2011
VW 2,Rihanna feat. Calvin Harris</b><br/>We Found Love</a>,W 8 | P 1,2,27.11.2011
neu,Flo Rida</b><br/>Good Feeling</a>,W 1 | P 3,3,27.11.2011
VW 8,Taio Cruz feat. Flo Rida</b><br/>Hangover</a>,W 3 | P 4,4,27.11.2011
VW 3,David Guetta feat. Usher</b><br/>Without You</a>,W 8 | P 3,5,27.11.2011
VW 6,Pitbull feat. Marc Anthony</b><br/>Rain Over Me</a>,W 22 | P 3,6,27.11.2011
VW 4,Marlon Roudette</b><br/>New Age</a>,W 14 | P 1,7,27.11.2011
VW 5,Coldplay</b><br/>Paradise</a>,W 10 | P 4,8,27.11.2011
VW 7,LMFAO</b><br/>Sexy And I Know It</a>,W 7 | P 7,9,27.11.2011
VW 9,Nickelback</b><br/>When We Stand Together</a>,W 3 | P 6,10,27.11.2011
VW 35,Snow Patrol</b><br/>Called Out In The Dark</a>,W 11 | P 11,11,27.11.2011
VW 13,Aura Dione</b><br/>Geronimo</a>,W 4 | P 12,12,27.11.2011
VW 14,Tim Bendzko</b><br/>Nur noch kurz die Welt retten</a>,W 19 | P 13,13,27.11.2011
VW 11,Maroon 5 feat. Christina Aguilera</b><br/>Moves Like Jagger</a>,W 20 | P 5,14,27.11.2011
VW 23,Lana Del Rey</b><br/>Video Games</a>,W 5 | P 15,15,27.11.2011
VW 15,Adele</b><br/>Rolling In The Deep</a>,W 44 | P 1,16,27.11.2011
VW 10,Sean Paul feat. Alexis Jordan</b><br/>Got 2 Luv U</a>,W 15 | P 1,17,27.11.2011
VW 12,Avicii</b><br/>Levels</a>,W 3 | P 12,18,27.11.2011
VW 16,Bruno Mars</b><br/>Marry You</a>,W 8 | P 16,19,27.11.2011
VW 17,Lucenzo feat. Don Omar</b><br/>Danza kuduro</a>,W 27 | P 1,20,27.11.2011
neu,Rammstein</b><br/>Mein Land</a>,W 1 | P 21,21,27.11.2011
VW 19,Stress feat. Noah Veraguth</b><br/>Elle</a>,W 6 | P 9,22,27.11.2011
VW 18,Mike Candys &amp; Evelyn feat. Patrick Miller</b><br/>One Night In Ibiza</a>,W 18 | P 7,23,27.11.2011
VW 21,Adele</b><br/>Set Fire To The Rain</a>,W 30 | P 4,24,27.11.2011
VW 25,Foster The People</b><br/>Pumped Up Kicks</a>,W 21 | P 23,25,27.11.2011
VW 26,DJ Antoine vs. Timati feat. Kalenna</b><br/>Welcome To St. Tropez</a>,W 33 | P 2,26,27.11.2011
VW 50,Kool Savas</b><br/>Aura</a>,W 4 | P 13,27,27.11.2011
VW 20,James Morrison</b><br/>I Won't Let You Go</a>,W 12 | P 3,28,27.11.2011
VW 27,David Guetta feat. Sia</b><br/>Titanium</a>,W 15 | P 10,29,27.11.2011
VW 24,Sak Noel</b><br/>Loca People (What The F**k!)</a>,W 17 | P 2,30,27.11.2011
neu,Nightwish</b><br/>Storytime</a>,W 1 | P 31,31,27.11.2011
VW 31,LMFAO feat. Lauren Bennett &amp; GoonRock</b><br/>Party Rock Anthem</a>,W 33 | P 1,32,27.11.2011
VW 22,Kelly Clarkson</b><br/>Mr. Know It All</a>,W 4 | P 22,33,27.11.2011
VW 28,77 Bombay Street</b><br/>Up In The Sky</a>,W 32 | P 7,34,27.11.2011
VW 29,Sasha Lopez &amp; Broono feat. Andreea D</b><br/>All My People</a>,W 6 | P 25,35,27.11.2011
VW 33,Britney Spears</b><br/>Criminal</a>,W 7 | P 33,36,27.11.2011
VW 46,Bligg</b><br/>Manhattan</a>,W 24 | P 9,37,27.11.2011
VW 30,77 Bombay Street</b><br/>I Love Lady Gaga</a>,W 10 | P 19,38,27.11.2011
VW 32,R.I.O. feat. U-Jean</b><br/>Turn This Club Around</a>,W 9 | P 1,39,27.11.2011
VW 39,Pitbull feat. Ne-Yo| Afrojack &amp; Nayer</b><br/>Give Me Everything</a>,W 31 | P 2,40,27.11.2011
VW 37,Example</b><br/>Changed The Way You Kiss Me</a>,W 10 | P 20,41,27.11.2011
VW 61,Bruno Mars</b><br/>It Will Rain</a>,W 5 | P 38,42,27.11.2011
VW 36,Mika</b><br/>Elle me dit</a>,W 15 | P 16,43,27.11.2011
neu,Ardian Bujupi</b><br/>This Is My Time</a>,W 1 | P 44,44,27.11.2011
VW 34,Alexandra Stan</b><br/>Mr. Saxobeat</a>,W 37 | P 1,45,27.11.2011
VW 43,The Asteroids Galaxy Tour</b><br/>The Golden Age</a>,W 20 | P 7,46,27.11.2011
VW 41,Jennifer Lopez feat. Pitbull</b><br/>On The Floor</a>,W 38 | P 1,47,27.11.2011
VW 40,Lady Gaga</b><br/>Yoü And I</a>,W 11 | P 32,48,27.11.2011
neu,Laura Pausini</b><br/>Benvenuto</a>,W 1 | P 49,49,27.11.2011
VW 38,Snoop Dogg &amp; Wiz Khalifa feat. Bruno Mars</b><br/>Young| Wild &amp; Free</a>,W 2 | P 38,50,27.11.2011
VW 51,Lana Del Rey</b><br/>Blue Jeans</a>,W 5 | P 51,51,27.11.2011
neu,Katy Perry</b><br/>The One That Got Away</a>,W 1 | P 52,52,27.11.2011
VW 48,Bruno Mars</b><br/>Grenade</a>,W 43 | P 1,53,27.11.2011
neu,Mike Candys &amp; Evelyn feat. David Deen</b><br/>Around The World</a>,W 1 | P 54,54,27.11.2011
VW 45,Rihanna</b><br/>Man Down</a>,W 24 | P 9,55,27.11.2011
re,Cobra Starship feat. Sabi</b><br/>You Make Me Feel...</a>,W 2 | P 56,56,27.11.2011
neu,Kool Savas</b><br/>Und dann kam Essah</a>,W 1 | P 57,57,27.11.2011
neu,Professor Green feat. Emeli Sandé</b><br/>Read All About It</a>,W 1 | P 58,58,27.11.2011
neu,Bligg feat. Jessy Howe</b><br/>I'd Kill For You</a>,W 1 | P 59,59,27.11.2011
VW 60,Israel IZ Kamakawiwo'ole</b><br/>Over The Rainbow</a>,W 62 | P 3,60,27.11.2011
VW 49,"DJ Antoine feat. The Beat Shakers</b><br/>""Ma chérie""</a>",W 37 | P 21,61,27.11.2011
VW 42,Bad Meets Evil feat. Bruno Mars</b><br/>Lighters</a>,W 23 | P 10,62,27.11.2011
VW 65,Shakira feat. Freshlyground</b><br/>Waka Waka (This Time For Africa)</a>,W 79 | P 1,63,27.11.2011
VW 63,Snoop Dogg vs. David Guetta</b><br/>Sweat</a>,W 36 | P 2,64,27.11.2011
VW 66,Justin Bieber</b><br/>Mistletoe</a>,W 3 | P 49,65,27.11.2011
VW 54,Pegasus</b><br/>Technology</a>,W 10 | P 31,66,27.11.2011
neu,Drake feat. Rihanna</b><br/>Take Care</a>,W 1 | P 67,67,27.11.2011
VW 71,Bruno Mars</b><br/>The Lazy Song</a>,W 27 | P 9,68,27.11.2011
VW 57,Tim Bendzko</b><br/>Wenn Worte meine Sprache wären</a>,W 5 | P 46,69,27.11.2011
VW 64,Unheilig</b><br/>Geboren um zu leben</a>,W 75 | P 13,70,27.11.2011
VW 52,David Guetta feat. Taio Cruz &amp; Ludacris</b><br/>Little Bad Girl</a>,W 21 | P 7,71,27.11.2011
VW 68,LMFAO feat. Natalia Kills</b><br/>Champagne Showers</a>,W 12 | P 56,72,27.11.2011
re,Christopher S feat. Max Urban</b><br/>Star</a>,W 3 | P 64,73,27.11.2011
VW 70,Lady Gaga</b><br/>The Edge Of Glory</a>,W 24 | P 10,74,27.11.2011
VW 69,Sunrise Avenue</b><br/>Hollywood Hills</a>,W 38 | P 3,75,27.11.2011
VW 2,Rihanna feat. Calvin Harris</b><br/>We Found Love</a>,W 9 | P 1,1,04.12.2011
VW 1,Adele</b><br/>Someone Like You</a>,W 23 | P 1,2,04.12.2011
VW 4,Taio Cruz feat. Flo Rida</b><br/>Hangover</a>,W 4 | P 3,3,04.12.2011
VW 3,Flo Rida</b><br/>Good Feeling</a>,W 2 | P 3,4,04.12.2011
VW 5,David Guetta feat. Usher</b><br/>Without You</a>,W 9 | P 3,5,04.12.2011
VW 6,Pitbull feat. Marc Anthony</b><br/>Rain Over Me</a>,W 23 | P 3,6,04.12.2011
VW 10,Nickelback</b><br/>When We Stand Together</a>,W 4 | P 6,7,04.12.2011
VW 7,Marlon Roudette</b><br/>New Age</a>,W 15 | P 1,8,04.12.2011
VW 8,Coldplay</b><br/>Paradise</a>,W 11 | P 4,9,04.12.2011
VW 9,LMFAO</b><br/>Sexy And I Know It</a>,W 8 | P 7,10,04.12.2011
neu,Rihanna feat. Jay-Z</b><br/>Talk That Talk</a>,W 1 | P 11,11,04.12.2011
VW 12,Aura Dione</b><br/>Geronimo</a>,W 5 | P 12,12,04.12.2011
VW 13,Tim Bendzko</b><br/>Nur noch kurz die Welt retten</a>,W 20 | P 13,13,04.12.2011
VW 18,Avicii</b><br/>Levels</a>,W 4 | P 12,14,04.12.2011
VW 14,Maroon 5 feat. Christina Aguilera</b><br/>Moves Like Jagger</a>,W 21 | P 5,15,04.12.2011
VW 17,Sean Paul feat. Alexis Jordan</b><br/>Got 2 Luv U</a>,W 16 | P 1,16,04.12.2011
VW 20,Lucenzo feat. Don Omar</b><br/>Danza kuduro</a>,W 28 | P 1,17,04.12.2011
VW 25,Foster The People</b><br/>Pumped Up Kicks</a>,W 22 | P 18,18,04.12.2011
VW 19,Bruno Mars</b><br/>Marry You</a>,W 9 | P 16,19,04.12.2011
VW 16,Adele</b><br/>Rolling In The Deep</a>,W 45 | P 1,20,04.12.2011
VW 11,Snow Patrol</b><br/>Called Out In The Dark</a>,W 12 | P 11,21,04.12.2011
VW 15,Lana Del Rey</b><br/>Video Games</a>,W 6 | P 15,22,04.12.2011
VW 22,Stress feat. Noah Veraguth</b><br/>Elle</a>,W 7 | P 9,23,04.12.2011
VW 24,Adele</b><br/>Set Fire To The Rain</a>,W 31 | P 4,24,04.12.2011
neu,Michel Teló</b><br/>Ai se eu te pego!</a>,W 1 | P 25,25,04.12.2011
VW 23,Mike Candys &amp; Evelyn feat. Patrick Miller</b><br/>One Night In Ibiza</a>,W 19 | P 7,26,04.12.2011
VW 26,DJ Antoine vs. Timati feat. Kalenna</b><br/>Welcome To St. Tropez</a>,W 34 | P 2,27,04.12.2011
VW 29,David Guetta feat. Sia</b><br/>Titanium</a>,W 16 | P 10,28,04.12.2011
VW 32,LMFAO feat. Lauren Bennett &amp; GoonRock</b><br/>Party Rock Anthem</a>,W 34 | P 1,29,04.12.2011
VW 28,James Morrison</b><br/>I Won't Let You Go</a>,W 13 | P 3,30,04.12.2011
VW 33,Kelly Clarkson</b><br/>Mr. Know It All</a>,W 5 | P 22,31,04.12.2011
VW 34,77 Bombay Street</b><br/>Up In The Sky</a>,W 33 | P 7,32,04.12.2011
VW 41,Example</b><br/>Changed The Way You Kiss Me</a>,W 11 | P 20,33,04.12.2011
VW 30,Sak Noel</b><br/>Loca People (What The F**k!)</a>,W 18 | P 2,34,04.12.2011
VW 35,Sasha Lopez &amp; Broono feat. Andreea D</b><br/>All My People</a>,W 7 | P 25,35,04.12.2011
VW 42,Bruno Mars</b><br/>It Will Rain</a>,W 6 | P 36,36,04.12.2011
VW 36,Britney Spears</b><br/>Criminal</a>,W 8 | P 33,37,04.12.2011
neu,Rihanna</b><br/>Where Have You Been</a>,W 1 | P 38,38,04.12.2011
VW 52,Katy Perry</b><br/>The One That Got Away</a>,W 2 | P 39,39,04.12.2011
VW 38,77 Bombay Street</b><br/>I Love Lady Gaga</a>,W 11 | P 19,40,04.12.2011
VW 50,Snoop Dogg &amp; Wiz Khalifa feat. Bruno Mars</b><br/>Young| Wild &amp; Free</a>,W 3 | P 38,41,04.12.2011
VW 40,Pitbull feat. Ne-Yo| Afrojack &amp; Nayer</b><br/>Give Me Everything</a>,W 32 | P 2,42,04.12.2011
VW 47,Jennifer Lopez feat. Pitbull</b><br/>On The Floor</a>,W 39 | P 1,43,04.12.2011
VW 45,Alexandra Stan</b><br/>Mr. Saxobeat</a>,W 38 | P 1,44,04.12.2011
VW 37,Bligg</b><br/>Manhattan</a>,W 25 | P 9,45,04.12.2011
VW 27,Kool Savas</b><br/>Aura</a>,W 5 | P 13,46,04.12.2011
VW 46,The Asteroids Galaxy Tour</b><br/>The Golden Age</a>,W 21 | P 7,47,04.12.2011
re,Andreas Gabalier</b><br/>I sing a Liad für di</a>,W 2 | P 48,48,04.12.2011
neu,Yiruma</b><br/>River Flows In You</a>,W 1 | P 49,49,04.12.2011
VW 67,Drake feat. Rihanna</b><br/>Take Care</a>,W 2 | P 50,50,04.12.2011
VW 39,R.I.O. feat. U-Jean</b><br/>Turn This Club Around</a>,W 10 | P 1,51,04.12.2011
re,Jessie J feat. B.o.B</b><br/>Price Tag</a>,W 35 | P 7,52,04.12.2011
VW 48,Lady Gaga</b><br/>Yoü And I</a>,W 12 | P 32,53,04.12.2011
VW 43,Mika</b><br/>Elle me dit</a>,W 16 | P 16,54,04.12.2011
neu,Mary J Blige</b><br/>Ain't Nobody</a>,W 1 | P 55,55,04.12.2011
VW 21,Rammstein</b><br/>Mein Land</a>,W 2 | P 21,56,04.12.2011
neu,Olly Murs feat. Rizzle Kicks</b><br/>Heart Skips A Beat</a>,W 1 | P 57,57,04.12.2011
VW 58,Professor Green feat. Emeli Sandé</b><br/>Read All About It</a>,W 2 | P 58,58,04.12.2011
VW 56,Cobra Starship feat. Sabi</b><br/>You Make Me Feel...</a>,W 3 | P 56,59,04.12.2011
neu,P!nk</b><br/>Bridge Of Light</a>,W 1 | P 60,60,04.12.2011
VW 69,Tim Bendzko</b><br/>Wenn Worte meine Sprache wären</a>,W 6 | P 46,61,04.12.2011
VW 53,Bruno Mars</b><br/>Grenade</a>,W 44 | P 1,62,04.12.2011
VW 63,Shakira feat. Freshlyground</b><br/>Waka Waka (This Time For Africa)</a>,W 80 | P 1,63,04.12.2011
VW 61,"DJ Antoine feat. The Beat Shakers</b><br/>""Ma chérie""</a>",W 38 | P 21,64,04.12.2011
VW 71,David Guetta feat. Taio Cruz &amp; Ludacris</b><br/>Little Bad Girl</a>,W 22 | P 7,65,04.12.2011
VW 59,Bligg feat. Jessy Howe</b><br/>I'd Kill For You</a>,W 2 | P 59,66,04.12.2011
re,Selah Sue</b><br/>This World</a>,W 7 | P 42,67,04.12.2011
VW 64,Snoop Dogg vs. David Guetta</b><br/>Sweat</a>,W 37 | P 2,68,04.12.2011
VW 60,Israel IZ Kamakawiwo'ole</b><br/>Over The Rainbow</a>,W 63 | P 3,69,04.12.2011
VW 51,Lana Del Rey</b><br/>Blue Jeans</a>,W 6 | P 51,70,04.12.2011
VW 75,Sunrise Avenue</b><br/>Hollywood Hills</a>,W 39 | P 3,71,04.12.2011
VW 66,Pegasus</b><br/>Technology</a>,W 11 | P 31,72,04.12.2011
VW 68,Bruno Mars</b><br/>The Lazy Song</a>,W 28 | P 9,73,04.12.2011
VW 62,Bad Meets Evil feat. Bruno Mars</b><br/>Lighters</a>,W 24 | P 10,74,04.12.2011
re,Eminem feat. Rihanna</b><br/>Love The Way You Lie</a>,W 49 | P 1,75,04.12.2011
VW 3,Taio Cruz feat. Flo Rida</b><br/>Hangover</a>,W 5 | P 1,1,11.12.2011
VW 2,Adele</b><br/>Someone Like You</a>,W 24 | P 1,2,11.12.2011
VW 1,Rihanna feat. Calvin Harris</b><br/>We Found Love</a>,W 10 | P 1,3,11.12.2011
VW 13,Tim Bendzko</b><br/>Nur noch kurz die Welt retten</a>,W 21 | P 4,4,11.12.2011
VW 4,Flo Rida</b><br/>Good Feeling</a>,W 3 | P 3,5,11.12.2011
VW 5,David Guetta feat. Usher</b><br/>Without You</a>,W 10 | P 3,6,11.12.2011
VW 6,Pitbull feat. Marc Anthony</b><br/>Rain Over Me</a>,W 24 | P 3,7,11.12.2011
VW 9,Coldplay</b><br/>Paradise</a>,W 12 | P 4,8,11.12.2011
VW 8,Marlon Roudette</b><br/>New Age</a>,W 16 | P 1,9,11.12.2011
VW 10,LMFAO</b><br/>Sexy And I Know It</a>,W 9 | P 7,10,11.12.2011
VW 7,Nickelback</b><br/>When We Stand Together</a>,W 5 | P 6,11,11.12.2011
VW 12,Aura Dione</b><br/>Geronimo</a>,W 6 | P 12,12,11.12.2011
VW 14,Avicii</b><br/>Levels</a>,W 5 | P 12,13,11.12.2011
VW 23,Stress feat. Noah Veraguth</b><br/>Elle</a>,W 8 | P 9,14,11.12.2011
VW 16,Sean Paul feat. Alexis Jordan</b><br/>Got 2 Luv U</a>,W 17 | P 1,15,11.12.2011
VW 22,Lana Del Rey</b><br/>Video Games</a>,W 7 | P 15,16,11.12.2011
VW 18,Foster The People</b><br/>Pumped Up Kicks</a>,W 23 | P 17,17,11.12.2011
VW 15,Maroon 5 feat. Christina Aguilera</b><br/>Moves Like Jagger</a>,W 22 | P 5,18,11.12.2011
VW 17,Lucenzo feat. Don Omar</b><br/>Danza kuduro</a>,W 29 | P 1,19,11.12.2011
VW 20,Adele</b><br/>Rolling In The Deep</a>,W 46 | P 1,20,11.12.2011
VW 19,Bruno Mars</b><br/>Marry You</a>,W 10 | P 16,21,11.12.2011
VW 36,Bruno Mars</b><br/>It Will Rain</a>,W 7 | P 22,22,11.12.2011
VW 24,Adele</b><br/>Set Fire To The Rain</a>,W 32 | P 4,23,11.12.2011
VW 21,Snow Patrol</b><br/>Called Out In The Dark</a>,W 13 | P 11,24,11.12.2011
VW 26,Mike Candys &amp; Evelyn feat. Patrick Miller</b><br/>One Night In Ibiza</a>,W 20 | P 7,25,11.12.2011
VW 29,LMFAO feat. Lauren Bennett &amp; GoonRock</b><br/>Party Rock Anthem</a>,W 35 | P 1,26,11.12.2011
VW 28,David Guetta feat. Sia</b><br/>Titanium</a>,W 17 | P 10,27,11.12.2011
VW 11,Rihanna feat. Jay-Z</b><br/>Talk That Talk</a>,W 2 | P 11,28,11.12.2011
VW 27,DJ Antoine vs. Timati feat. Kalenna</b><br/>Welcome To St. Tropez</a>,W 35 | P 2,29,11.12.2011
neu,Jason Derulo</b><br/>It Girl</a>,W 1 | P 30,30,11.12.2011
VW 30,James Morrison</b><br/>I Won't Let You Go</a>,W 14 | P 3,31,11.12.2011
VW 41,Snoop Dogg &amp; Wiz Khalifa feat. Bruno Mars</b><br/>Young| Wild &amp; Free</a>,W 4 | P 32,32,11.12.2011
VW 61,Tim Bendzko</b><br/>Wenn Worte meine Sprache wären</a>,W 7 | P 33,33,11.12.2011
VW 32,77 Bombay Street</b><br/>Up In The Sky</a>,W 34 | P 7,34,11.12.2011
neu,Ed Sheeran</b><br/>The A Team</a>,W 1 | P 35,35,11.12.2011
VW 35,Sasha Lopez &amp; Broono feat. Andreea D</b><br/>All My People</a>,W 8 | P 25,36,11.12.2011
VW 34,Sak Noel</b><br/>Loca People (What The F**k!)</a>,W 19 | P 2,37,11.12.2011
VW 39,Katy Perry</b><br/>The One That Got Away</a>,W 3 | P 38,38,11.12.2011
VW 40,77 Bombay Street</b><br/>I Love Lady Gaga</a>,W 12 | P 19,39,11.12.2011
VW 72,Pegasus</b><br/>Technology</a>,W 12 | P 31,40,11.12.2011
VW 33,Example</b><br/>Changed The Way You Kiss Me</a>,W 12 | P 20,41,11.12.2011
VW 37,Britney Spears</b><br/>Criminal</a>,W 9 | P 33,42,11.12.2011
VW 43,Jennifer Lopez feat. Pitbull</b><br/>On The Floor</a>,W 40 | P 1,43,11.12.2011
VW 51,R.I.O. feat. U-Jean</b><br/>Turn This Club Around</a>,W 11 | P 1,44,11.12.2011
VW 42,Pitbull feat. Ne-Yo| Afrojack &amp; Nayer</b><br/>Give Me Everything</a>,W 33 | P 2,45,11.12.2011
VW 31,Kelly Clarkson</b><br/>Mr. Know It All</a>,W 6 | P 22,46,11.12.2011
VW 59,Cobra Starship feat. Sabi</b><br/>You Make Me Feel...</a>,W 4 | P 47,47,11.12.2011
VW 45,Bligg</b><br/>Manhattan</a>,W 26 | P 9,48,11.12.2011
VW 46,Kool Savas</b><br/>Aura</a>,W 6 | P 13,49,11.12.2011
VW 44,Alexandra Stan</b><br/>Mr. Saxobeat</a>,W 39 | P 1,50,11.12.2011
neu,R.I.O. feat. U-Jean</b><br/>Animal</a>,W 1 | P 51,51,11.12.2011
re,Wham!</b><br/>Last Christmas</a>,W 49 | P 6,52,11.12.2011
VW 49,Yiruma</b><br/>River Flows In You</a>,W 2 | P 49,53,11.12.2011
VW 54,Mika</b><br/>Elle me dit</a>,W 17 | P 16,54,11.12.2011
VW 71,Sunrise Avenue</b><br/>Hollywood Hills</a>,W 40 | P 3,55,11.12.2011
re,Culcha Candela</b><br/>Hungry Eyes</a>,W 2 | P 44,56,11.12.2011
VW 55,Mary J Blige</b><br/>Ain't Nobody</a>,W 2 | P 55,57,11.12.2011
neu,Gotthard</b><br/>Remember It's Me</a>,W 1 | P 58,58,11.12.2011
re,Sarah McLachlan</b><br/>Angel</a>,W 10 | P 17,59,11.12.2011
VW 57,Olly Murs feat. Rizzle Kicks</b><br/>Heart Skips A Beat</a>,W 2 | P 57,60,11.12.2011
re,Tiziano Ferro</b><br/>La differenza tra me e te</a>,W 2 | P 61,61,11.12.2011
neu,Plüsch</b><br/>'s kennt ne kene so gnau</a>,W 1 | P 62,62,11.12.2011
VW 63,Shakira feat. Freshlyground</b><br/>Waka Waka (This Time For Africa)</a>,W 81 | P 1,63,11.12.2011
VW 52,Jessie J feat. B.o.B</b><br/>Price Tag</a>,W 36 | P 7,64,11.12.2011
VW 25,Michel Teló</b><br/>Ai se eu te pego!</a>,W 2 | P 25,65,11.12.2011
VW 70,Lana Del Rey</b><br/>Blue Jeans</a>,W 7 | P 51,66,11.12.2011
VW 64,"DJ Antoine feat. The Beat Shakers</b><br/>""Ma chérie""</a>",W 39 | P 21,67,11.12.2011
VW 66,Bligg feat. Jessy Howe</b><br/>I'd Kill For You</a>,W 3 | P 59,68,11.12.2011
VW 50,Drake feat. Rihanna</b><br/>Take Care</a>,W 3 | P 50,69,11.12.2011
